[2025-06-19 17:41:32,961] INFO in __init__: Logging is set up.
[2025-06-19 17:41:52,497] INFO in __init__: App created and blueprint registered.
[2025-06-19 17:41:52,923] INFO in __init__: Logging is set up.
[2025-06-19 17:42:16,482] INFO in __init__: App created and blueprint registered.
[2025-06-19 17:42:16,536] INFO in user_service: User input received: hi
[2025-06-19 17:42:16,537] INFO in user_service: Session ID: 70208445-b651-4511-9781-e0780f786978
[2025-06-19 17:42:16,538] INFO in user_service: User input received: hi
[2025-06-19 17:42:17,199] INFO in user_service: Groq API responded successfully.
[2025-06-19 17:42:17,199] INFO in user_service: Bot response: Hello, how can I assist you today?
[2025-06-19 17:42:19,469] INFO in user_service: User input received: ceo?
[2025-06-19 17:42:19,471] INFO in user_service: Session ID: 70208445-b651-4511-9781-e0780f786978
[2025-06-19 17:42:19,473] INFO in user_service: User input received: ceo?
[2025-06-19 17:42:20,082] INFO in user_service: Groq API responded successfully.
[2025-06-19 17:42:20,085] INFO in user_service: Bot response: The CEO of Innovature is Gijo Sivan.
[2025-06-19 17:42:23,864] INFO in user_service: User input received: vp?
[2025-06-19 17:42:23,866] INFO in user_service: Session ID: 70208445-b651-4511-9781-e0780f786978
[2025-06-19 17:42:23,867] INFO in user_service: User input received: vp?
[2025-06-19 17:42:24,586] INFO in user_service: Groq API responded successfully.
[2025-06-19 17:42:24,586] INFO in user_service: Bot response: There are multiple VPs listed: Yoshitaka Nakayama (VP, Strategic Dev) and Unnikrishnan S (VP).
[2025-06-19 17:42:32,343] INFO in user_service: User input received: wh y 2/
[2025-06-19 17:42:32,344] INFO in user_service: Session ID: 70208445-b651-4511-9781-e0780f786978
[2025-06-19 17:42:32,346] INFO in user_service: User input received: wh y 2/
[2025-06-19 17:42:33,062] INFO in user_service: Groq API responded successfully.
[2025-06-19 17:42:33,064] INFO in user_service: Bot response: The provided information does not specify why there are two VPs. It only lists the names and roles of the VPs: Yoshitaka Nakayama (VP, Strategic Dev) and Unnikrishnan S (VP).
[2025-06-19 17:42:58,002] INFO in user_service: User input received: meghna?
[2025-06-19 17:42:58,004] INFO in user_service: Session ID: 70208445-b651-4511-9781-e0780f786978
[2025-06-19 17:42:58,005] INFO in user_service: User input received: meghna?
[2025-06-19 17:42:58,657] INFO in user_service: Groq API responded successfully.
[2025-06-19 17:42:58,659] INFO in user_service: Bot response: Meghna George is the People Ops Head at Innovature.
[2025-06-19 17:43:37,703] INFO in user_service: User input received: hello
[2025-06-19 17:43:37,704] INFO in user_service: Session ID: 0dcabd8c-34f1-4f86-9619-767fe42154a3
[2025-06-19 17:43:37,706] INFO in user_service: User input received: hello
[2025-06-19 17:43:38,305] INFO in user_service: Groq API responded successfully.
[2025-06-19 17:43:38,307] INFO in user_service: Bot response: Hello, how can I assist you today?
[2025-06-19 17:43:49,899] INFO in user_service: User input received: who is abhijith ?
[2025-06-19 17:43:49,901] INFO in user_service: Session ID: 0dcabd8c-34f1-4f86-9619-767fe42154a3
[2025-06-19 17:43:49,902] INFO in user_service: User input received: who is abhijith ?
[2025-06-19 17:43:50,523] INFO in user_service: Groq API responded successfully.
[2025-06-19 17:43:50,525] INFO in user_service: Bot response: There is no information provided about Abhijith.
[2025-06-19 17:44:05,453] INFO in user_service: User input received: whats the basic salary?
[2025-06-19 17:44:05,454] INFO in user_service: Matched keywords: ['ar']
[2025-06-19 17:44:05,454] INFO in user_service: Session ID: 0dcabd8c-34f1-4f86-9619-767fe42154a3
[2025-06-19 17:44:05,455] INFO in user_service: User input received: whats the basic salary?
[2025-06-19 17:44:06,108] INFO in user_service: Groq API responded successfully.
[2025-06-19 17:44:06,110] INFO in user_service: Bot response: The provided information does not include details about basic salary.
